FundamentalTime,FundamentalValue
1612517437500000000,100000
1612517437600000000,100000
1612517437700000000,100000
1612517437800000000,100000
1612517437900000000,100000
1612517438000000000,100000
1612517438100000000,100000
1612517438200000000,100000
1612517438300000000,100000
1612517438400000000,100000
1612517438500000000,100000
1612517438600000000,100000
1612517438700000000,100000
1612517438800000000,100000
1612517438900000000,100000
1612517439000000000,100000
1612517439100000000,100000
1612517439200000000,100000
1612517439300000000,100000
1612517439400000000,100000
1612517439500000000,100000
1612517439600000000,100000
1612517439700000000,100000
1612517439800000000,100000
1612517439900000000,100000
1612517440000000000,100000
1612517440100000000,100000
1612517440200000000,100000
1612517440300000000,100000
1612517440400000000,100000
1612517440500000000,100000
1612517440600000000,100000
1612517440700000000,100000
1612517440800000000,100000
1612517440900000000,100000
1612517441000000000,100000
1612517441100000000,100000
1612517441200000000,100000
1612517441300000000,100000
1612517441400000000,100000
1612517441500000000,100000
1612517441600000000,100000
1612517441700000000,100000
1612517441800000000,100000
1612517441900000000,100000
1612517442000000000,100000
1612517442100000000,100000
1612517442200000000,100000
1612517442300000000,100000
1612517442400000000,100000
1612517442500000000,100000
1612517442600000000,100000
1612517442700000000,100000
1612517442800000000,100000
1612517442900000000,100000
1612517443000000000,100000
1612517443100000000,100000
1612517443200000000,100000
1612517443300000000,100000
1612517443400000000,100000
1612517443500000000,100000
1612517443600000000,100000
1612517443700000000,100000
1612517443800000000,100000
1612517443900000000,100000
1612517444000000000,100000
1612517444100000000,100000
1612517444200000000,100000
1612517444300000000,100000
1612517444400000000,100000
1612517444500000000,100000
1612517444600000000,100000
1612517444700000000,100000
1612517444800000000,100000
1612517444900000000,100000
1612517445000000000,100000
1612517445100000000,100000
1612517445200000000,100000
1612517445300000000,100000
1612517445400000000,100000
1612517445500000000,100000
1612517445600000000,100000
1612517445700000000,100000
1612517445800000000,100000
1612517445900000000,100000
1612517446000000000,100000
1612517446100000000,100000
1612517446200000000,100000
1612517446300000000,100000
1612517446400000000,100000
1612517446500000000,100000
1612517446600000000,100000
1612517446700000000,100000
1612517446800000000,100000
1612517446900000000,100000
1612517447000000000,100000
1612517447100000000,100000
1612517447200000000,100000
1612517447300000000,100000
1612517447400000000,100000
1612517447500000000,100000
1612517447600000000,100000
1612517447700000000,100000
1612517447800000000,100000
1612517447900000000,100000
1612517448000000000,100000
1612517448100000000,100000
1612517448200000000,100000
1612517448300000000,100000
1612517448400000000,100000
1612517448500000000,100000
1612517448600000000,100000
1612517448700000000,100000
1612517448800000000,100000
1612517448900000000,100000
1612517449000000000,100000
1612517449100000000,100000
1612517449200000000,100000
1612517449300000000,100000
1612517449400000000,100000
1612517449500000000,100000
1612517449600000000,100000
1612517449700000000,100000
1612517449800000000,100000
1612517449900000000,100000
1612517450000000000,100000
1612517450100000000,100000
1612517450200000000,100000
1612517450300000000,100000
1612517450400000000,100000
1612517450500000000,100000
1612517450600000000,100000
1612517450700000000,100000
1612517450800000000,100000
1612517450900000000,100000
1612517451000000000,100000
1612517451100000000,100000
1612517451200000000,100000
1612517451300000000,100000
1612517451400000000,100000
1612517451500000000,100000
1612517451600000000,100000
1612517451700000000,100000
1612517451800000000,100000
1612517451900000000,100000
1612517452000000000,100000
1612517452100000000,100000
1612517452200000000,100000
1612517452300000000,100000
1612517452400000000,100000
1612517452500000000,100000
1612517452600000000,100000
1612517452700000000,100000
1612517452800000000,100000
1612517452900000000,100000
1612517453000000000,100000
1612517453100000000,100000
1612517453200000000,100000
1612517453300000000,100000
1612517453400000000,100000
1612517453500000000,100000
1612517453600000000,100000
1612517453700000000,100000
1612517453800000000,100000
1612517453900000000,100000
1612517454000000000,100000
1612517454100000000,100000
1612517454200000000,100000
1612517454300000000,100000
1612517454400000000,100000
1612517454500000000,100000
1612517454600000000,100000
