EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM
1612518448880930943,IMBALANCE,"[464, 285]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518453724352225,BID_DEPTH,"[(99956, 464)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518453724352225,ASK_DEPTH,"[(99957, 154)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518453724352225,IMBALANCE,"[464, 154]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518499975102697,BID_DEPTH,"[(99956, 104)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518499975102697,ASK_DEPTH,"[(99957, 268)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518499975102697,IMBALANCE,"[104, 268]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518573018790851,BID_DEPTH,"[(99950, 109)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518573018790851,ASK_DEPTH,"[(99951, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518573018790851,IMBALANCE,"[109, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518592085492926,BID_DEPTH,"[(99949, 336)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518592085492926,ASK_DEPTH,"[(99950, 597)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518592085492926,IMBALANCE,"[336, 597]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518669208719585,BID_DEPTH,"[(99954, 120)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518669208719585,ASK_DEPTH,"[(99956, 177)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518669208719585,IMBALANCE,"[120, 177]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518676556688020,BID_DEPTH,"[(99954, 120)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518676556688020,ASK_DEPTH,"[(99955, 300)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518676556688020,IMBALANCE,"[120, 300]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518795621182530,BID_DEPTH,"[(99959, 394)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518795621182530,ASK_DEPTH,"[(99960, 150)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518795621182530,IMBALANCE,"[394, 150]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518798559232155,BID_DEPTH,"[(99959, 368)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518798559232155,ASK_DEPTH,"[(99960, 150)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518798559232155,IMBALANCE,"[368, 150]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518801702343544,BID_DEPTH,"[(99959, 141)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518801702343544,ASK_DEPTH,"[(99960, 150)]",1105,MomentumAgent,,,,,,,,,,,,,,
