,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread
10,1612516506697239911,ORDER_EXECUTED,,392,NoiseAgent,,2021-02-05 09:14:55,ABM,10.0,Side.BID,287.0,100010.0,,100010.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,600.0,Side.BID,650.0,,,99972.0,False,False,False,False,1190.0,,,,
7,0,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,46.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
10,1612517501226092078,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,100.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
12,1612517504493250073,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,100.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
14,1612517505508079096,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,100.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
16,1612517519916796190,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,100.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
18,1612517527405861192,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,100.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
20,1612517529150400897,ORDER_EXECUTED,,395,NoiseAgent,,2021-02-05 09:31:39,ABM,54.0,Side.BID,650.0,99972.0,,99972.0,False,False,False,False,1190.0,,,,
6,0,ORDER_SUBMITTED,,412,NoiseAgent,,2021-02-05 09:31:24,ABM,400.0,Side.ASK,644.0,,,99958.0,False,False,False,False,1190.0,,,,
7,0,ORDER_EXECUTED,,412,NoiseAgent,,2021-02-05 09:31:24,ABM,76.0,Side.ASK,644.0,99958.0,,99958.0,False,False,False,False,1190.0,,,,
10,1612517489197188292,ORDER_EXECUTED,,412,NoiseAgent,,2021-02-05 09:31:24,ABM,200.0,Side.ASK,644.0,99958.0,,99958.0,False,False,False,False,1190.0,,,,
