,order_id,quantity
149,177.0,100.0
150,178.0,2.0
151,179.0,100.0
152,180.0,100.0
153,181.0,100.0
154,182.0,100.0
155,183.0,26.0
156,184.0,2.0
157,186.0,2.0
158,187.0,100.0
159,189.0,100.0
160,190.0,200.0
161,191.0,100.0
162,192.0,100.0
163,193.0,100.0
164,194.0,100.0
165,195.0,100.0
166,196.0,100.0
167,198.0,37.0
168,199.0,100.0
169,200.0,7.0
170,202.0,100.0
171,203.0,100.0
172,204.0,100.0
173,205.0,100.0
174,206.0,100.0
175,207.0,100.0
176,208.0,100.0
177,209.0,400.0
178,210.0,6.0
179,211.0,100.0
180,212.0,100.0
181,214.0,25.0
182,215.0,100.0
183,216.0,3.0
184,217.0,100.0
185,218.0,100.0
186,219.0,100.0
187,220.0,47.0
188,221.0,100.0
189,222.0,100.0
190,223.0,100.0
191,224.0,100.0
192,225.0,18.0
193,226.0,200.0
194,227.0,88.0
195,228.0,100.0
196,229.0,100.0
197,230.0,100.0
198,231.0,83.0
199,232.0,100.0
200,233.0,100.0
201,235.0,63.0
202,236.0,100.0
203,237.0,100.0
204,238.0,100.0
205,239.0,100.0
206,240.0,100.0
207,241.0,100.0
208,242.0,100.0
209,243.0,95.0
210,244.0,100.0
211,245.0,33.0
212,246.0,100.0
213,247.0,100.0
214,248.0,100.0
215,249.0,100.0
216,250.0,100.0
217,251.0,10.0
218,252.0,6.0
219,253.0,100.0
220,254.0,100.0
221,255.0,6.0
222,257.0,100.0
223,258.0,100.0
224,259.0,74.0
225,261.0,100.0
226,262.0,100.0
227,263.0,100.0
228,264.0,100.0
229,265.0,100.0
230,266.0,100.0
231,267.0,400.0
232,268.0,100.0
233,269.0,100.0
234,270.0,23.0
235,271.0,100.0
236,272.0,100.0
237,273.0,100.0
238,274.0,100.0
239,275.0,200.0
240,276.0,100.0
241,277.0,100.0
242,278.0,100.0
243,279.0,100.0
244,281.0,16.0
245,282.0,100.0
246,283.0,100.0
247,284.0,100.0
248,285.0,100.0
249,286.0,100.0
250,287.0,100.0
251,289.0,10.0
252,290.0,100.0
253,291.0,100.0
254,292.0,100.0
255,293.0,100.0
256,294.0,100.0
257,295.0,10.0
258,296.0,100.0
259,298.0,100.0
260,299.0,100.0
261,300.0,77.0
262,301.0,100.0
263,302.0,100.0
264,303.0,14.0
265,304.0,100.0
266,305.0,100.0
267,306.0,99.0
268,307.0,39.0
269,308.0,60.0
270,309.0,86.0
271,311.0,64.0
272,312.0,2.0
273,313.0,100.0
274,314.0,100.0
275,316.0,100.0
276,317.0,100.0
277,318.0,2.0
278,319.0,100.0
279,320.0,400.0
280,321.0,27.0
281,322.0,100.0
282,323.0,100.0
283,324.0,100.0
284,325.0,100.0
285,326.0,100.0
286,327.0,9.0
287,328.0,100.0
288,329.0,100.0
289,330.0,100.0
290,331.0,5.0
291,332.0,100.0
292,333.0,100.0
293,334.0,400.0
294,335.0,5.0
295,336.0,100.0
296,337.0,100.0
297,338.0,100.0
298,339.0,100.0
299,340.0,100.0
300,342.0,52.0
301,343.0,100.0
302,344.0,11.0
303,345.0,600.0
304,346.0,15.0
305,347.0,9.0
306,348.0,100.0
307,349.0,100.0
308,350.0,100.0
309,351.0,100.0
310,352.0,100.0
311,353.0,100.0
312,354.0,100.0
313,355.0,100.0
314,356.0,100.0
315,357.0,100.0
316,358.0,5.0
317,359.0,100.0
318,360.0,100.0
319,361.0,100.0
320,362.0,100.0
321,363.0,100.0
322,364.0,100.0
323,365.0,100.0
324,367.0,100.0
325,368.0,500.0
326,369.0,36.0
327,370.0,100.0
328,371.0,100.0
329,373.0,36.0
330,374.0,100.0
331,375.0,100.0
332,376.0,100.0
333,377.0,100.0
334,380.0,100.0
335,381.0,100.0
336,382.0,100.0
337,383.0,400.0
338,384.0,100.0
339,385.0,100.0
340,386.0,100.0
341,387.0,100.0
342,388.0,100.0
343,389.0,9.0
344,390.0,100.0
345,391.0,9.0
346,392.0,100.0
347,393.0,47.0
348,394.0,400.0
349,395.0,100.0
350,396.0,100.0
351,398.0,100.0
352,399.0,100.0
353,400.0,6.0
354,401.0,90.0
355,402.0,2.0
356,403.0,100.0
357,404.0,100.0
358,405.0,100.0
359,406.0,100.0
360,407.0,100.0
361,408.0,2.0
362,409.0,12.0
363,410.0,100.0
364,411.0,100.0
365,412.0,100.0
366,413.0,100.0
367,414.0,100.0
368,415.0,36.0
369,416.0,100.0
370,417.0,100.0
371,418.0,64.0
372,419.0,100.0
373,420.0,98.0
374,421.0,100.0
375,422.0,100.0
376,423.0,100.0
377,425.0,100.0
378,426.0,100.0
379,427.0,100.0
380,428.0,6.0
381,429.0,100.0
382,430.0,100.0
383,431.0,191.0
384,432.0,100.0
385,433.0,100.0
386,434.0,100.0
387,435.0,75.0
388,436.0,25.0
389,437.0,100.0
390,438.0,100.0
391,439.0,100.0
392,443.0,100.0
393,444.0,100.0
394,445.0,100.0
395,446.0,100.0
396,447.0,100.0
397,448.0,22.0
398,449.0,100.0
399,450.0,4.0
