,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
9,0,HOLDINGS_UPDATED,,39,NoiseAgent,-1200.0,,,,,,,,,,,,,,100.0
14,1612530000001562466,ENDING_CASH,9999400,39,NoiseAgent,9999400.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,40,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,40,NoiseAgent,1306351.0,,,,,,,,,,,,,,87.0
13,0,HOLDINGS_UPDATED,,40,NoiseAgent,7300.0,,,,,,,,,,,,,,100.0
18,1612530000002973954,ENDING_CASH,10007900,40,NoiseAgent,10007900.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,41,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002114780,ENDING_CASH,10000000,41,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,42,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,42,NoiseAgent,7400442.0,,,,,,,,,,,,,,26.0
12,0,HOLDINGS_UPDATED,,42,NoiseAgent,1700.0,,,,,,,,,,,,,,100.0
17,1612530000002459355,ENDING_CASH,10002300,42,NoiseAgent,10002300.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,43,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000007179689,ENDING_CASH,10000000,43,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,44,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000000117403,ENDING_CASH,10000000,44,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,45,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,45,NoiseAgent,5299483.0,,,,,,,,,,,,,,47.0
13,1612518606948342013,HOLDINGS_UPDATED,,45,NoiseAgent,-4701617.0,,,,,,,,,,,,,,147.0
16,1612518618560023961,HOLDINGS_UPDATED,,45,NoiseAgent,-10002200.0,,,,,,,,,,,,,,200.0
21,1612530000000364245,ENDING_CASH,9999000,45,NoiseAgent,9999000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,46,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,46,NoiseAgent,5500630.0,,,,,,,,,,,,,,45.0
13,1612520848232695264,HOLDINGS_UPDATED,,46,NoiseAgent,5200672.0,,,,,,,,,,,,,,48.0
16,1612522314586884282,HOLDINGS_UPDATED,,46,NoiseAgent,1400.0,,,,,,,,,,,,,,100.0
21,1612530000002192543,ENDING_CASH,10002000,46,NoiseAgent,10002000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,47,NoiseAgent,10000000.0,,,,,,,,,,,,,,
