,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM,cash,holdings,mark_to_marked_holdings,total_depot_value,profit
589,1612519786111222040,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:09:46,ABM,100.0,Side.ASK,19114.0,99949.0,,99949.0,False,False,False,False,,,,,,
602,1612519793621295998,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:09:53,ABM,100.0,Side.ASK,19122.0,99947.0,,99947.0,False,False,False,False,,,,,,
615,1612519805655568258,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:05,ABM,25.0,Side.ASK,19140.0,99934.0,,99934.0,False,False,False,False,,,,,,
625,1612519810266412337,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:05,ABM,19.0,Side.ASK,19140.0,99934.0,,99934.0,False,False,False,False,,,,,,
634,0,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:05,ABM,56.0,Side.ASK,19140.0,99934.0,,99934.0,False,False,False,False,,,,,,
647,1612519853842847517,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:53,ABM,8.0,Side.ASK,19198.0,99933.0,,99933.0,False,False,False,False,,,,,,
660,1612519932923952025,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:12,ABM,25.0,Side.ASK,19309.0,99937.0,,99937.0,False,False,False,False,,,,,,
670,1612519933397633485,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:12,ABM,75.0,Side.ASK,19309.0,99937.0,,99937.0,False,False,False,False,,,,,,
683,1612519955316828581,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:35,ABM,10.0,Side.ASK,19394.0,99938.0,,99938.0,False,False,False,False,,,,,,
696,1612520038379412309,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:58,ABM,82.0,Side.ASK,19489.0,99945.0,,99945.0,False,False,False,False,,,,,,
709,1612520041269849391,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:01,ABM,47.0,Side.ASK,19492.0,99945.0,,99945.0,False,False,False,False,,,,,,
718,1612520041269849441,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:01,ABM,53.0,Side.ASK,19492.0,99945.0,,99945.0,False,False,False,False,,,,,,
731,1612520050294659952,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:10,ABM,141.0,Side.ASK,19502.0,99945.0,,99945.0,False,False,False,False,,,,,,
741,1612520051954381812,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:10,ABM,59.0,Side.ASK,19502.0,99945.0,,99945.0,False,False,False,False,,,,,,
754,1612520072565321476,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:32,ABM,25.0,Side.ASK,19564.0,99947.0,,99947.0,False,False,False,False,,,,,,
764,1612520075113504442,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:32,ABM,75.0,Side.ASK,19564.0,99947.0,,99947.0,False,False,False,False,,,,,,
777,1612520103481605964,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:15:03,ABM,100.0,Side.ASK,19612.0,99947.0,,99947.0,False,False,False,False,,,,,,
790,1612520144863957504,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:15:44,ABM,100.0,Side.ASK,19682.0,99947.0,,99947.0,False,False,False,False,,,,,,
803,1612520197847800625,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:16:37,ABM,91.0,Side.ASK,19721.0,99950.0,,99950.0,False,False,False,False,,,,,,
812,1612520197847800675,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:16:37,ABM,9.0,Side.ASK,19721.0,99950.0,,99950.0,False,False,False,False,,,,,,
