Column1,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,cash2,holdings,mark_to_marked_holdings,total_depot_value,profit
1144,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,512321047,"{'CASH': 757693713, 'ABM': -7490}",10057789,-502263258,57789
1154,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,518017228,"{'CASH': 757693713, 'ABM': -7490}",10057789,-507959439,57789
1167,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,523013878,"{'CASH': 757693713, 'ABM': -7490}",10057789,-512956089,57789
1177,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,528010528,"{'CASH': 757693713, 'ABM': -7490}",10057789,-517952739,57789
1190,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,537904093,"{'CASH': 757693713, 'ABM': -7490}",10042141,-527861952,42141
1199,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,538004028,"{'CASH': 757693713, 'ABM': -7490}",10042140,-527961888,42140
1212,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,541301718,"{'CASH': 757693713, 'ABM': -7490}",10068522,-531233196,68522
1221,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,547997028,"{'CASH': 757693713, 'ABM': -7490}",10068455,-537928573,68455
1234,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,551294916,"{'CASH': 757693713, 'ABM': -7490}",10041540,-541253376,41540
1244,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,557990628,"{'CASH': 757693713, 'ABM': -7490}",10041540,-547949088,41540
1257,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,562287833,"{'CASH': 757693713, 'ABM': -7490}",10041497,-552246336,41497
1266,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,567984128,"{'CASH': 757693713, 'ABM': -7490}",10041440,-557942688,41440
1279,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,577078668,"{'CASH': 757693713, 'ABM': -7490}",10013434,-567065234,13434
1292,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,584174337,"{'CASH': 757693713, 'ABM': -7490}",10019037,-574155300,19037
1301,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,594168237,"{'CASH': 757693713, 'ABM': -7490}",10018937,-584149300,18937
1310,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,604162137,"{'CASH': 757693713, 'ABM': -7490}",10018837,-594143300,18837
1324,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,608659032,"{'CASH': 757693713, 'ABM': -7490}",10072342,-598586690,72342
1334,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,614155237,"{'CASH': 757693713, 'ABM': -7490}",10072342,-604082895,72342
1347,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,624147137,"{'CASH': 757693713, 'ABM': -7490}",10132592,-614014545,132592
1357,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,634139037,"{'CASH': 757693713, 'ABM': -7490}",10132392,-624006645,132392
1366,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,644130937,"{'CASH': 757693713, 'ABM': -7490}",10132192,-633998745,132192
1379,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,654123037,"{'CASH': 757693713, 'ABM': -7490}",10132192,-643990845,132192
1392,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,660018376,"{'CASH': 757693713, 'ABM': -7490}",10132192,-649886184,132192
1401,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,664115137,"{'CASH': 757693713, 'ABM': -7490}",10132192,-653982945,132192
1414,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,665214279,"{'CASH': 757693713, 'ABM': -7490}",10125647,-655088632,125647
